Identifiant| Tissular Location | Subcellular Location | Interactans | Family name | Chain Nature 
1433B_HUMAN | ['Keratinocyte', 'Thymus', 'Skin', 'Colon carcinoma', 'Platelet', 'Melanoma', 'Leukemic T-cell'] | ['Cytoplasm', 'Melanosome'] | ['EBI-6248077', 'EBI-1567267', 'EBI-365980', 'EBI-518228', 'EBI-722425', 'EBI-747671', 'EBI-1051746', 'EBI-1043945', 'EBI-7540603', 'EBI-3951744', 'EBI-1053621', 'EBI-975200', 'EBI-744104', 'EBI-7082069', 'EBI-308629', 'EBI-3843983', 'EBI-5323863', 'EBI-307281', 'EBI-476263', 'EBI-516560', 'EBI-707595', 'EBI-365996', 'EBI-1056589', 'EBI-1111534', 'EBI-6930266', 'EBI-593303', 'EBI-1222387', 'EBI-7623057', 'EBI-396587', 'EBI-1044059', 'EBI-356498', 'EBI-647803'] | 14-3-3 protein beta/alpha  | chain
1433E_HUMAN | ['Liver', 'Brain', 'Heart', 'Caudate nucleus, Heart, Subthalamic nucleus', 'Placenta', 'Platelet', 'B-cell lymphoma', 'Histiocytic lymphoma', 'Brain, Cajal-Retzius cell', 'Melanoma', 'Liver', 'Cervix carcinoma'] | ['Cytoplasm', 'Melanosome'] | ['EBI-9213553', 'EBI-446492', 'EBI-4392727', 'EBI-1043945', 'EBI-960409', 'EBI-308629', 'EBI-6173812', 'EBI-5323863', 'EBI-307281', 'EBI-398437', 'EBI-721328', 'EBI-915490', 'EBI-6930266', 'EBI-2652799', 'EBI-747743', 'EBI-359815', 'EBI-359832', 'EBI-347088'] | 14-3-3 protein epsilon  | chain
1433F_HUMAN | ['Brain', 'Brain', 'Lymph', 'Keratinocyte', 'Platelet', 'Platelet', 'Leukemic T-cell'] | [] | ['EBI-720593', 'EBI-6424030', 'EBI-1051746', 'EBI-1043945', 'EBI-7540603', 'EBI-944395', 'EBI-308629', 'EBI-6173812', 'EBI-5323863', 'EBI-516560', 'EBI-707595', 'EBI-302319', 'EBI-81968', 'EBI-81876', 'EBI-295391', 'EBI-295417', 'EBI-286199', 'EBI-365996', 'EBI-6930266'] | 14-3-3 protein eta  | initiator methionine
1433G_HUMAN | ['Vascular smooth muscle', 'Fetal brain', 'Endometrial tumor', 'Colon carcinoma, Hepatoma', 'Platelet', 'Platelet', 'Brain, Cajal-Retzius cell, Fetal brain cortex', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Cytoplasm'] | ['EBI-974488', 'EBI-7540603', 'EBI-308629', 'EBI-6173812', 'EBI-5323863', 'EBI-516560', 'EBI-707595', 'EBI-398437', 'EBI-6930266', 'EBI-366083', 'EBI-356498'] | 14-3-3 protein gamma  | chain
1433S_HUMAN | ['Epithelium', 'Keratinocyte', 'Cervix, Lung, Placenta', 'Keratinocyte', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma'] | ['Cytoplasm', 'Nucleus', 'Secreted'] | ['EBI-375543', 'EBI-949782', 'EBI-700771', 'EBI-486838', 'EBI-2941912', 'EBI-740397', 'EBI-308629', 'EBI-715576', 'EBI-1048378', 'EBI-432545', 'EBI-707595', 'EBI-746202', 'EBI-365996', 'EBI-8029141', 'EBI-1176214', 'EBI-366083', 'EBI-347088'] | 14-3-3 protein sigma  | chain
1433T_HUMAN | ['T-cell', 'Keratinocyte', 'Placenta, Skin, Uterus', 'Platelet', 'B-cell lymphoma, Hepatoma', 'Brain', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Cytoplasm'] | ['EBI-1567267', 'EBI-743313', 'EBI-714559', 'EBI-518228', 'EBI-1043945', 'EBI-519280', 'EBI-7540603', 'EBI-297353', 'EBI-848239', 'EBI-2556221', 'EBI-6173812', 'EBI-5323863', 'EBI-6930266', 'EBI-1222387'] | 14-3-3 protein theta  | chain
1433Z_HUMAN | ['Placenta', 'Bone marrow', 'Hippocampus, Tongue', 'Brain, Colon, Eye, Melanoma, PNS, Skin, Testis, Uterus', 'Platelet', 'B-cell lymphoma, Platelet', 'Brain, Cajal-Retzius cell, Fetal brain cortex', 'Cervix carcinoma', 'Melanoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Cytoplasm', 'Melanosome'] | ['EBI-446413', 'EBI-375543', 'EBI-353944', 'EBI-1567236', 'EBI-1567267', 'EBI-365961', 'EBI-302405', 'EBI-351437', 'EBI-356231', 'EBI-700771', 'EBI-400328', 'EBI-365980', 'EBI-397435', 'EBI-4392727', 'EBI-747671', 'EBI-1051746', 'EBI-624648', 'EBI-746238', 'EBI-352733', 'EBI-536811', 'EBI-7540603', 'EBI-352162', 'EBI-297353', 'EBI-353877', 'EBI-351076', 'EBI-958183', 'EBI-373586', 'EBI-994554', 'EBI-308629', 'EBI-715576', 'EBI-1048378', 'EBI-1390628', 'EBI-79722', 'EBI-302023', 'EBI-357966', 'EBI-352682', 'EBI-306852', 'EBI-351935', 'EBI-5323863', 'EBI-476263', 'EBI-366182', 'EBI-7145070', 'EBI-7291149', 'EBI-516560', 'EBI-707595', 'EBI-346967', 'EBI-78579', 'EBI-81968', 'EBI-706254', 'EBI-351098', 'EBI-365996', 'EBI-8029141', 'EBI-1111534', 'EBI-6930266', 'EBI-351193', 'EBI-476295', 'EBI-1181640', 'EBI-1181460', 'EBI-311323', 'EBI-306838', 'EBI-618295', 'EBI-1027557', 'EBI-366083', 'EBI-396587', 'EBI-355164', 'EBI-353844', 'EBI-914695', 'EBI-1044059', 'EBI-356498', 'EBI-602273'] | 14-3-3 protein zeta/delta  | chain
1A01_HUMAN | ['Brain', 'Blood', 'Liver'] | ['Membrane'] | ['EBI-446413', 'EBI-375543', 'EBI-353944', 'EBI-1567236', 'EBI-1567267', 'EBI-365961', 'EBI-302405', 'EBI-351437', 'EBI-356231', 'EBI-700771', 'EBI-400328', 'EBI-365980', 'EBI-397435', 'EBI-4392727', 'EBI-747671', 'EBI-1051746', 'EBI-624648', 'EBI-746238', 'EBI-352733', 'EBI-536811', 'EBI-7540603', 'EBI-352162', 'EBI-297353', 'EBI-353877', 'EBI-351076', 'EBI-958183', 'EBI-373586', 'EBI-994554', 'EBI-308629', 'EBI-715576', 'EBI-1048378', 'EBI-1390628', 'EBI-79722', 'EBI-302023', 'EBI-357966', 'EBI-352682', 'EBI-306852', 'EBI-351935', 'EBI-5323863', 'EBI-476263', 'EBI-366182', 'EBI-7145070', 'EBI-7291149', 'EBI-516560', 'EBI-707595', 'EBI-346967', 'EBI-78579', 'EBI-81968', 'EBI-706254', 'EBI-351098', 'EBI-365996', 'EBI-8029141', 'EBI-1111534', 'EBI-6930266', 'EBI-351193', 'EBI-476295', 'EBI-1181640', 'EBI-1181460', 'EBI-311323', 'EBI-306838', 'EBI-618295', 'EBI-1027557', 'EBI-366083', 'EBI-396587', 'EBI-355164', 'EBI-353844', 'EBI-914695', 'EBI-1044059', 'EBI-356498', 'EBI-602273'] | HLA class  | signal peptide
1A02_HUMAN | ['Blood', 'Blood', 'Blood', 'Blood', 'Blood', 'Platelet', 'Liver'] | ['Membrane'] | ['EBI-446413', 'EBI-375543', 'EBI-353944', 'EBI-1567236', 'EBI-1567267', 'EBI-365961', 'EBI-302405', 'EBI-351437', 'EBI-356231', 'EBI-700771', 'EBI-400328', 'EBI-365980', 'EBI-397435', 'EBI-4392727', 'EBI-747671', 'EBI-1051746', 'EBI-624648', 'EBI-746238', 'EBI-352733', 'EBI-536811', 'EBI-7540603', 'EBI-352162', 'EBI-297353', 'EBI-353877', 'EBI-351076', 'EBI-958183', 'EBI-373586', 'EBI-994554', 'EBI-308629', 'EBI-715576', 'EBI-1048378', 'EBI-1390628', 'EBI-79722', 'EBI-302023', 'EBI-357966', 'EBI-352682', 'EBI-306852', 'EBI-351935', 'EBI-5323863', 'EBI-476263', 'EBI-366182', 'EBI-7145070', 'EBI-7291149', 'EBI-516560', 'EBI-707595', 'EBI-346967', 'EBI-78579', 'EBI-81968', 'EBI-706254', 'EBI-351098', 'EBI-365996', 'EBI-8029141', 'EBI-1111534', 'EBI-6930266', 'EBI-351193', 'EBI-476295', 'EBI-1181640', 'EBI-1181460', 'EBI-311323', 'EBI-306838', 'EBI-618295', 'EBI-1027557', 'EBI-366083', 'EBI-396587', 'EBI-355164', 'EBI-353844', 'EBI-914695', 'EBI-1044059', 'EBI-356498', 'EBI-602273'] | HLA class  | signal peptide
1A03_HUMAN | ['Blood'] | ['Membrane'] | ['EBI-446413', 'EBI-375543', 'EBI-353944', 'EBI-1567236', 'EBI-1567267', 'EBI-365961', 'EBI-302405', 'EBI-351437', 'EBI-356231', 'EBI-700771', 'EBI-400328', 'EBI-365980', 'EBI-397435', 'EBI-4392727', 'EBI-747671', 'EBI-1051746', 'EBI-624648', 'EBI-746238', 'EBI-352733', 'EBI-536811', 'EBI-7540603', 'EBI-352162', 'EBI-297353', 'EBI-353877', 'EBI-351076', 'EBI-958183', 'EBI-373586', 'EBI-994554', 'EBI-308629', 'EBI-715576', 'EBI-1048378', 'EBI-1390628', 'EBI-79722', 'EBI-302023', 'EBI-357966', 'EBI-352682', 'EBI-306852', 'EBI-351935', 'EBI-5323863', 'EBI-476263', 'EBI-366182', 'EBI-7145070', 'EBI-7291149', 'EBI-516560', 'EBI-707595', 'EBI-346967', 'EBI-78579', 'EBI-81968', 'EBI-706254', 'EBI-351098', 'EBI-365996', 'EBI-8029141', 'EBI-1111534', 'EBI-6930266', 'EBI-351193', 'EBI-476295', 'EBI-1181640', 'EBI-1181460', 'EBI-311323', 'EBI-306838', 'EBI-618295', 'EBI-1027557', 'EBI-366083', 'EBI-396587', 'EBI-355164', 'EBI-353844', 'EBI-914695', 'EBI-1044059', 'EBI-356498', 'EBI-602273'] | HLA class  | signal peptide
